scientificName_Parasite 	Authority	scientificName_Host	Location	PROVINCE
Bucephalus harpodontis	Wang, 1980          	Harpodon nehereus	South China Sea	South China Sea
Bucephalus retractilis	Yamaguti, 1952          	Harengula nymphaea	South China Sea	South China Sea
Helicometra fusiformis	Wang, Wang & Zhang, 1992        	Hapalogenys mucronatus	South China Sea	South China Sea
Helicometra hapalogenyos	Wang, Wang & Zhang, 1992        	Hapalogenys mucronatus	South China Sea	South China Sea
Plagioporus oligolecithosus	Wang, Wang & Zhang, 1992        	Hapalogenys mucronatus	South China Sea	South China Sea
Podocotyle longiforme	Wang, Wang & Zhang, 1992        	Hapalogenys mucronatus	South China Sea	South China Sea
Sterrhurus microvatus	Yamaguti, 1970          	Halieutaea stellata	South China Sea	South China Sea
Folliculovarium gymnothoracis	Gu & Shen, 1983        	Gymnothorax undulatus	South China Sea	South China Sea
Heterobucephalopsis gymnothoracis	Gu & Shen, 1983        	Gymnothorax undulatus	South China Sea	South China Sea
Proctotrematoides gymnothoracis	Shen, 1990          	Gymnothorax undulatus	South China Sea	South China Sea
Proctotrematoides gymnothoracis	Shen, 1990          	Gymnothorax pictus	South China Sea	South China Sea
Tubulovesicula spari	Yamaguti, 1934          	Gymnothorax pictus	South China Sea	South China Sea
Neodollfustrema xishaense	Gu & Shen, 1983        	Gymnothorax melanospilus	South China Sea	South China Sea
Hamacreadium gymnomuraenae	Shen & Li, 2000        	Gymnomuraena tigrina	South China Sea	South China Sea
Propycnadenoides philippinensis	Fischthal & Thomas, 1964        	Gymnocranius griseus	Coast of Philippines	Western Coral Triangle
Stephanostomum pagrosomi	(Yamaguti, 1939)          	Gymnocranius audleyi	Australia: Coast of Queensland	Northeast Australian Shelf
Plerurus digitatus	(Looss, 1899)          	Grammatorcynus bicarinatus	Australia: Coast of Queensland	Northeast Australian Shelf
Ovipusillus mayu	Dove & Cribb, 1998        	Gnathanodon speciosus	Australia: Coast of Queensland	Northeast Australian Shelf
Prosorhynchus glyptothoracis	Zhang, 1984          	Glyptothorax sinense	South China Sea	South China Sea
Aphanurus orientalis	Liu, 1995          	Glossogobius olivaceus	South China Sea	South China Sea
Erilepturus lemeriensis	(Tubangui & Masilungan, 1934)        	Glossogobius giurus	Coast of Philippines	Western Coral Triangle
Opecoelus minimus	(Tubangui, 1928)          	Glossogobius giurus	Coast of Philippines	Western Coral Triangle
Prosorhynchus crucibulum	Rudolphi, 1819          	Glossogobius giurus	Coast of Philippines	Western Coral Triangle
Azygia pristipomai	Tubangui, 1928          	Glossogobius giurus	Coast of Philippines	Western Coral Triangle
Opecoelus minimus	(Tubangui, 1928)          	Glossogobius biocellatus	Coast of Philippines	Western Coral Triangle
Prototransversotrema steeri	(Angel, 1969)          	Girella tricuspidata	Queensland	Northeast Australian Shelf
Neoapocreadium karwarensis	(Hafeezullah, 1970)          	Gerres subfasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Neolebouria moretonensis	Aken'Ova & Cribb, 2001        	Gerres subfasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
Homalometron stradbrokensis	Cribb & Bray, 1999        	Gerres subfasciatus	Australia: Coast of Queensland	Northeast Australian Shelf
